record_type,identifier,qualified_names,declaration_kinds,header,line,declaration_sites,external_use_count,external_file_count,direct_reference_file_count,inferred_transitive_file_count,unresolved_reference_file_count,explicit_include_count,explicit_include_file_count,unqualified_include_count,unqualified_include_file_count,cmake_dependency_count,disposition,confidence,notes
symbol,AKEY_SELECTED,EAnimKeyFlags::AKEY_SELECTED,enum_value,AnimKey.h,20,AnimKey.h:20,11,3,1,1,1,0,0,9,9,,ambiguous_external_use,low,Enumerator use attribution is name-based and may collide with other enums.; some references have no directly or internally inferred CryCommon include
symbol_reference,AKEY_SELECTED,EAnimKeyFlags::AKEY_SELECTED,enum_value,AnimKey.h,,Gems/LyShine/Code/Source/Animation/AnimTrack.h,5,1,,,,,,,,,unresolved_identifier_match,low,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol_reference,AKEY_SELECTED,EAnimKeyFlags::AKEY_SELECTED,enum_value,AnimKey.h,,Gems/Maestro/Code/Source/Cinematics/AnimTrack.h,5,1,,,,,,,,,inferred_transitive_reference,medium,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol_reference,AKEY_SELECTED,EAnimKeyFlags::AKEY_SELECTED,enum_value,AnimKey.h,,Gems/Maestro/Code/Tests/Tracks/AnimTrackTest.cpp,1,1,,,,,,,,,direct_reference,high,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol,AKEY_SORT_MARKER,EAnimKeyFlags::AKEY_SORT_MARKER,enum_value,AnimKey.h,21,AnimKey.h:21,4,2,1,1,0,0,0,9,9,,ambiguous_external_use,low,Enumerator use attribution is name-based and may collide with other enums.
symbol_reference,AKEY_SORT_MARKER,EAnimKeyFlags::AKEY_SORT_MARKER,enum_value,AnimKey.h,,Gems/Maestro/Code/Source/Cinematics/AnimTrack.h,3,1,,,,,,,,,inferred_transitive_reference,medium,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol_reference,AKEY_SORT_MARKER,EAnimKeyFlags::AKEY_SORT_MARKER,enum_value,AnimKey.h,,Gems/Maestro/Code/Tests/Tracks/AnimTrackTest.cpp,1,1,,,,,,,,,direct_reference,high,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol,ALLOW_AUDIT_CVARS,ALLOW_AUDIT_CVARS,object_macro,IConsole.h,37,IConsole.h:37;IConsole.h:42,5,2,1,1,0,3,3,25,25,,deferred_systemic,high,2 declaration sites are aggregated by unqualified identifier
symbol_reference,ALLOW_AUDIT_CVARS,ALLOW_AUDIT_CVARS,object_macro,IConsole.h,,Code/Legacy/CrySystem/XConsole.cpp,3,1,,,,,,,,,inferred_transitive_reference,medium,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol_reference,ALLOW_AUDIT_CVARS,ALLOW_AUDIT_CVARS,object_macro,IConsole.h,,Code/Legacy/CrySystem/XConsole.h,2,1,,,,,,,,,direct_reference,high,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol,ALLOW_CONST_CVAR_MODIFICATIONS,ALLOW_CONST_CVAR_MODIFICATIONS,object_macro,IConsole.h,38,IConsole.h:38;IConsole.h:43,3,1,0,1,0,3,3,25,25,,deferred_systemic,high,2 declaration sites are aggregated by unqualified identifier
symbol_reference,ALLOW_CONST_CVAR_MODIFICATIONS,ALLOW_CONST_CVAR_MODIFICATIONS,object_macro,IConsole.h,,Code/Legacy/CrySystem/XConsole.cpp,3,1,,,,,,,,,inferred_transitive_reference,medium,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol,ANIMKEY_TIME_RANGE_END_TIME_UNSET,ANIMKEY_TIME_RANGE_END_TIME_UNSET,object_macro,AnimKey.h,249,AnimKey.h:249,0,0,0,0,0,0,0,9,9,,zero_external_use_unresolved,high,
symbol,ARRAYSIZE,ARRAYSIZE,function_macro,AppleSpecific.h;LinuxSpecific.h,410,AppleSpecific.h:467;LinuxSpecific.h:410,3,1,0,1,0,0,0,0,0,,active_external_use,high,2 declaration sites are aggregated by unqualified identifier
symbol_reference,ARRAYSIZE,ARRAYSIZE,function_macro,AppleSpecific.h;LinuxSpecific.h,,Code/Legacy/CrySystem/WindowsErrorReporting.cpp,3,1,,,,,,,,,inferred_transitive_reference,medium,Exact per-file lexical match record; unresolved matches may be coincidental.
symbol,AZColorToLYColorB,AZColorToLYColorB,free_function,MathConversion.h,93,MathConversion.h:93,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
symbol,AZColorToLYColorF,AZColorToLYColorF,free_function,MathConversion.h,80,MathConversion.h:80,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
symbol,AZColorToLYVec3,AZColorToLYVec3,free_function,MathConversion.h,68,MathConversion.h:68,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
symbol,AZColorToLYVec4,AZColorToLYVec4,free_function,MathConversion.h,73,MathConversion.h:73,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
symbol,AZMatrix3x3ToLYMatrix3x3,AZMatrix3x3ToLYMatrix3x3,free_function,MathConversion.h,106,MathConversion.h:106,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
symbol,AZMatrix3x4ToLYMatrix3x4,AZMatrix3x4ToLYMatrix3x4,free_function,MathConversion.h,134,MathConversion.h:134,0,0,0,0,0,1,1,0,0,,compatibility_retained,medium,Free-function classification is lexical.
